Condor,,2026-06-13T11:52:03,Batt % (Start),93.86328,Batt % (End),87.35156,MCU Temp (Start),28,MCU Temp (End),38,,,,,,,,,
time (ms), acc_x (m/s^2), acc_y (m/s^2), acc_z (m/s^2), gyro_x (dps), gyro_y (dps), gyro_z (dps), mag_x (μT), mag_y (μT), mag_z (μT), baro_alt (m), gps_alt (m), temp (c), lat (ddmm.mmmm), lon(ddmm.mmmm), est_yaw (deg), est_pitch (deg), est_roll(deg), est_alt (m), est_speed(m/s)
-3008,10.295056,-0.5189694,0.27700818,0.11794749,0.068494888,0,-4.7072352,10.205255,3.046958,0.205993652,408.3,32.72113,2827.6,8031.8,1.81460268,-1.5759389,296.82178,2.5764546,1.4755921
-2986,9.81453,-0.5189694,0.27700818,-0.022052508,0.068494888,0,-4.700204,10.19987,3.015465,0.205993652,408.3,32.719344,2827.6,8031.8,2.0243234,-1.5878056,296.8189,2.575707,1.465161
-2964,9.81453,-0.038443564,0.757534,-0.022052508,-0.0715051,0,-4.7142664,10.214676,2.9902704,0.195434576,408.3,32.70642,2827.6,8031.8,1.71862052,-2.0777384,296.7928,2.5745938,1.4546875
-2942,10.295056,-0.038443564,0.27700818,-0.022052508,-0.21150508,0,-4.6931732,10.194485,3.0816004,0.18222046,408.3,32.698912,2827.6,8031.8,1.4547321,-1.9664964,296.81604,2.5731996,1.4548395
-2919,10.295056,-0.038443564,0.27700818,-0.022052508,-0.21150508,0,-4.6773532,10.193139,3.0406594,0.17694092,408.3,32.699156,2827.6,8031.8,1.232336,-1.8818474,296.81802,2.5717542,1.4549743
-2897,10.295056,-0.038443564,0.27700818,-0.022052508,-0.21150508,0.14,-4.696689,10.194485,3.0091662,0.20864868,408.3,32.70224,2827.6,8031.8,1.0579268,-1.8208004,296.80438,2.5707746,1.4552555
-2875,10.295056,-0.5189694,0.27700818,-0.022052508,-0.21150508,0.14,-4.712508,10.201216,3.056406,0.17959594,408.3,32.69844,2827.6,8031.8,1.3794293,-1.76420532,296.82048,2.5694094,1.4554128
-2853,10.295056,-0.5189694,0.27700818,-0.022052508,-0.35150512,0,-4.694931,10.1985232,3.0941978,0.195434576,408.3,32.700364,2827.6,8031.8,1.6579512,-1.7038862,296.85152,2.5682876,1.4556459
-2831,10.295056,-0.038443564,0.27700818,-0.022052508,-0.21150508,0,-4.7072352,10.214676,3.0406594,0.184875484,408.3,32.694976,2827.6,8031.8,1.4160358,-1.6725931,296.84326,2.5670392,1.4558374
-2808,10.775582,-0.038443564,0.27700818,-0.022052508,-0.21150508,0,-4.701962,10.185063,3.0941978,0.20336914,408.3,32.693344,2827.6,8031.8,1.1897458,-1.6221,296.8566,2.5661876,1.4667938
-2786,10.295056,-0.038443564,0.27700818,-0.022052508,-0.0715051,0,-4.6914152,10.202561,3.0532568,0.17694092,408.3,32.71617,2827.6,8031.8,1.0205743,-1.6079887,296.84802,2.565102,1.4669584
-2764,10.295056,-0.038443564,0.27700818,0.11794749,0.068494888,0,-4.7142664,10.222753,3.0501074,0.16638184,408.3,32.697816,2827.6,8031.8,0.8794385,-1.6013512,296.83816,2.5638878,1.4670812
-2742,10.775582,-0.5189694,0.27700818,0.11794749,0.068494888,0,-4.708993,10.203908,3.0784512,0.1743164,408.3,32.706176,2827.6,8031.8,1.2214942,-1.577799,296.85364,2.562921,1.4779221
-2719,10.295056,-0.038443564,-0.20351768,0.11794749,0.2084949,0.14,-4.716024,10.205255,3.0595552,0.19281006,408.3,32.704834,2827.6,8031.8,1.0600236,-1.1399668,296.85062,2.5623464,1.47817
-2697,10.295056,-0.038443564,0.27700818,0.11794749,0.2084949,0.14,-4.7248124,10.2066,3.056406,0.195434576,408.3,32.693544,2827.6,8031.8,0.9165824,-1.2233384,296.83164,2.561822,1.4784322
-2675,10.295056,-0.038443564,0.27700818,0.11794749,0.2084949,0.14,-4.7072352,10.193139,3.0627046,0.17959594,408.3,32.721756,2827.6,8031.8,0.79646624,-1.2898926,296.81896,2.5610896,1.4786266
-2653,10.295056,-0.5189694,0.27700818,0.11794749,0.2084949,0.14,-4.6931732,10.21333,3.0091662,0.18753052,408.3,32.707092,2827.6,8031.8,1.1597464,-1.351096,296.79742,2.5604822,1.4788593
-2631,10.295056,-0.038443564,0.27700818,0.11794749,0.068494888,0.14,-4.694931,10.225445,3.0501074,0.18753052,408.3,32.71237,2827.6,8031.8,0.991046864,-1.3928746,296.78372,2.5598886,1.4790946
-2608,10.295056,-0.5189694,0.27700818,-0.022052508,0.068494888,0,-4.7195396,10.209292,3.0501074,0.1743164,408.3,32.706664,2827.6,8031.8,1.3145187,-1.4232946,296.78226,2.559124,1.4792743
-2586,10.295056,-0.5189694,0.27700818,-0.022052508,-0.0715051,0,-4.6879,10.1985232,3.0721526,0.16903686,408.3,32.680312,2827.6,8031.8,1.5836176,-1.4397234,296.79316,2.5583002,1.479434
-2564,10.295056,-0.5189694,0.27700818,-0.022052508,-0.21150508,0.14,-4.7195396,10.202561,3.0091662,0.18753052,408.3,32.684404,2827.6,8031.8,1.81454708,-1.4594918,296.7826,2.5577496,1.479679
-2542,9.81453,-0.038443564,0.27700818,-0.022052508,-0.21150508,0,-4.6984464,10.218715,3.0595552,0.1980896,408.3,32.696364,2827.6,8031.8,1.5309937,-1.4807154,296.77964,2.5572422,1.469295
-2519,10.295056,-0.038443564,0.27700818,0.11794749,-0.21150508,0,-4.700204,10.205255,3.046958,0.18222046,408.3,32.69969,2827.6,8031.8,1.2846656,-1.4874853,296.7751,2.5564098,1.4695222
-2497,10.295056,-0.5189694,0.27700818,-0.022052508,-0.21150508,0,-4.7037196,10.218715,3.0375102,0.19281006,408.3,32.679108,2827.6,8031.8,1.5490034,-1.4950843,296.77374,2.555742,1.4697998
-2475,10.295056,-0.038443564,0.27700818,-0.022052508,-0.21150508,0,-4.708993,10.210638,3.0910482,0.184875484,408.3,32.703004,2827.6,8031.8,1.307377,-1.4914774,296.7835,2.5549788,1.4700452
-2453,10.775582,-0.99949528,-0.20351768,0.11794749,-0.21150508,0,-4.684385,10.195831,3.0627046,0.19281006,408.3,32.71031,2827.6,8031.8,1.9332446,-1.082649,296.80316,2.5544594,1.4810068
-2431,9.81453,-0.038443564,0.27700818,-0.022052508,-0.0715051,0,-4.72657,10.202561,3.0312114,0.205993652,408.3,32.708528,2827.6,8031.8,1.6370921,-1.1815064,296.7812,2.5541374,1.4706721
-2408,10.295056,-0.038443564,-0.20351768,-0.022052508,-0.0715051,0,-4.701962,10.197178,3.069003,0.17959594,408.3,32.701996,2827.6,8031.8,1.3727115,-0.750037568,296.7762,2.5533424,1.4709012
-2386,9.81453,-0.5189694,0.27700818,0.11794749,0.068494888,0,-4.6879,10.209292,3.034361,0.19281006,408.3,32.694976,2827.6,8031.8,1.6398156,-0.90149704,296.75446,2.5526304,1.4605143
-2364,9.81453,-0.038443564,0.27700818,0.11794749,0.068494888,0,-4.7107508,10.222753,2.996569,0.2218628,408.3,32.692184,2827.6,8031.8,1.3999661,-1.043007,296.7166,2.5521064,1.4502598
-2342,10.775582,-0.5189694,0.27700818,-0.022052508,0.068494888,0.14,-4.708993,10.2066,3.056406,0.23242188,408.3,32.692764,2827.6,8031.8,1.6408366,-1.1228043,296.71252,2.5517464,1.4614109
